word,meaning,aliases,level,pos
convince,설득하다,납득시키다,B1,verb
cool,멋진,시원한,B1,adjective
copy,복사본,복사하다,B1,noun
corner,구석,모퉁이,B1,noun
correct,맞는,수정하다,B1,adjective
costume,의상,복장,B1,noun
cotton,면,목화,B1,noun
couple,한 쌍,두어 개,B1,noun
court,법정,코트,B1,noun
cover,덮다,포함하다,B1,verb
crazy,미친,정말 열광한,B1,adjective
creative,창의적인,,B1,adjective
creature,생물,창조물,B1,noun
crime,범죄,,B1,noun
criminal,범죄자,범죄의,B1,noun
cross,건너다,가로지르다,B1,verb
crowd,군중,붐비다,B1,noun
crowded,붐비는,혼잡한,B1,adjective
cruel,잔인한,,B1,adjective
culture,문화,,B1,noun
curious,궁금한,호기심 많은,B1,adjective
currently,현재,,B1,adverb
custom,관습,풍습,B1,noun
customer,고객,손님,B1,noun
damage,손상,손해,B1,noun
deal,거래,다루다,B1,noun
decoration,장식,,B1,noun
deep,깊은,,B1,adjective
definition,정의,,B1,noun
deliver,배달하다,전달하다,B1,verb
departure,출발,,B1,noun
depend,의존하다,달려 있다,B1,verb
describe,묘사하다,설명하다,B1,verb
description,설명,묘사,B1,noun
design,설계하다,디자인,B1,verb
designer,디자이너,설계자,B1,noun
destroy,파괴하다,망가뜨리다,B1,verb
detail,세부사항,상세,B1,noun
develop,개발하다,발전시키다,B1,verb
development,발전,개발,B1,noun
device,장치,기기,B1,noun
diagram,도표,그림,B1,noun
dialogue,대화,,B1,noun
diet,식단,다이어트,B1,noun
direct,직접적인,지시하다,B1,adjective
direction,방향,지시,B1,noun
director,감독,책임자,B1,noun
disappear,사라지다,,B1,verb
disaster,재난,재해,B1,noun
discover,발견하다,알아내다,B1,verb
discovery,발견,,B1,noun
discussion,토론,논의,B1,noun
disease,질병,,B1,noun
distance,거리,,B1,noun
divide,나누다,분할하다,B1,verb
document,문서,기록하다,B1,noun
double,두 배의,두 배로,B1,adjective
downstairs,아래층에,아래층의,B1,adverb
drama,드라마,연극,B1,noun
drop,떨어뜨리다,하락,B1,verb
drug,약,마약,B1,noun
dry,마른,건조한,B1,adjective
earn,벌다,,B1,verb
earth,지구,땅,B1,noun
eastern,동쪽의,동부의,B1,adjective
education,교육,,B1,noun
effect,효과,영향,B1,noun
effort,노력,,B1,noun
either,어느 쪽이든,또한 ~도,B1,determiner
electric,전기의,,B1,adjective
electrical,전기의,전기 관련의,B1,adjective
element,요소,,B1,noun
embarrassed,당황한,부끄러운,B1,adjective
emergency,비상사태,응급상황,B1,noun
emotion,감정,,B1,noun
employee,직원,,B1,noun
employer,고용주,,B1,noun
empty,비어 있는,비우다,B1,adjective
encourage,격려하다,용기를 북돋다,B1,verb
enemy,적,,B1,noun
engine,엔진,,B1,noun
engineer,기술자,엔지니어,B1,noun
enormous,거대한,엄청난,B1,adjective
enter,들어가다,입장하다,B1,verb
environment,환경,,B1,noun
equipment,장비,설비,B1,noun
error,오류,실수,B1,noun
especially,특히,,B1,adverb
event,사건,행사,B1,noun
exam,시험,,B1,noun
excellent,훌륭한,아주 좋은,B1,adjective
except,~을 제외하고,빼고,B1,preposition
exchange,교환,바꾸다,B1,noun
exercise,운동,연습,B1,noun
exist,존재하다,,B1,verb
experience,경험,경험하다,B1,noun
experiment,실험,실험하다,B1,noun
expert,전문가,숙련된,B1,noun
explain,설명하다,,B1,verb
express,표현하다,나타내다,B1,verb
expression,표현,,B1,noun
extra,추가의,여분의,B1,adjective
face,얼굴,직면하다,B1,noun
fact,사실,,B1,noun
factory,공장,,B1,noun
fail,실패하다,,B1,verb
fair,공정한,박람회,B1,adjective
fault,잘못,결점,B1,noun
fear,두려움,무서워하다,B1,noun
feature,특징,기능,B1,noun
feed,먹이를 주다,먹이다,B1,verb
female,여성의,암컷의,B1,adjective
fiction,소설,허구,B1,noun
field,들판,분야,B1,noun
fight,싸우다,싸움,B1,verb
final,마지막의,최종의,B1,adjective
finally,마침내,결국,B1,adverb
finger,손가락,,B1,noun
flight,비행,항공편,B1,noun
flood,홍수,범람하다,B1,noun
flour,밀가루,,B1,noun
flow,흐르다,흐름,B1,verb
fold,접다,,B1,verb
following,다음의,그 다음의,B1,adjective
foreign,외국의,,B1,adjective
forest,숲,,B1,noun
fork,포크,,B1,noun
formal,공식적인,격식을 갖춘,B1,adjective
fortunately,다행히,,B1,adverb
forward,앞으로,전방의,B1,adverb
free,무료의,자유로운,B1,adjective
fresh,신선한,새로운,B1,adjective
fridge,냉장고,,B1,noun
friendly,친근한,다정한,B1,adjective
frog,개구리,,B1,noun
function,기능,,B1,noun
furniture,가구,,B1,noun
future,미래,미래의,B1,noun
garage,차고,,B1,noun
garbage,쓰레기,,B1,noun
general,일반적인,전반적인,B1,adjective
generally,일반적으로,보통,B1,adverb
generation,세대,,B1,noun
gentle,부드러운,온화한,B1,adjective
goal,목표,,B1,noun
golden,금빛의,황금의,B1,adjective
government,정부,,B1,noun
graduate,졸업하다,졸업생,B1,verb
growth,성장,증가,B1,noun
guest,손님,게스트,B1,noun
guide,안내하다,가이드,B1,verb
habit,습관,,B1,noun
half,절반,,B1,noun
hall,복도,홀,B1,noun
happily,행복하게,,B1,adverb
health,건강,,B1,noun
healthy,건강한,,B1,adjective
heat,열,가열하다,B1,noun
heavily,심하게,무겁게,B1,adverb
height,높이,키,B1,noun
hero,영웅,,B1,noun
hide,숨기다,숨다,B1,verb
highly,매우,고도로,B1,adverb
history,역사,,B1,noun
honest,정직한,솔직한,B1,adjective
horrible,끔찍한,무서운,B1,adjective
however,하지만,그러나,B1,adverb
human,인간,인간의,B1,noun
humor,유머,익살,B1,noun
hurt,다치게 하다,아프다,B1,verb
ideal,이상적인,,B1,adjective
identify,확인하다,식별하다,B1,verb
imagine,상상하다,,B1,verb
immediately,즉시,바로,B1,adverb
immigrant,이민자,,B1,noun
improve,향상시키다,개선하다,B1,verb
included,포함된,,B1,adjective
including,포함하여,,B1,preposition
increase,증가,늘리다,B1,noun
independent,독립적인,,B1,adjective
individual,개인,개별의,B1,noun
industry,산업,,B1,noun
influence,영향,영향을 주다,B1,noun
injure,부상을 입히다,다치게 하다,B1,verb
injury,부상,,B1,noun
insect,곤충,,B1,noun
inside,안쪽에,내부의,B1,preposition
instead,대신에,,B1,adverb
instruction,지시,설명,B1,noun
instructor,강사,지도자,B1,noun
instrument,악기,도구,B1,noun
intelligence,지능,정보기관,B1,noun
international,국제적인,,B1,adjective
interview,면접,인터뷰하다,B1,noun
introduce,소개하다,,B1,verb
introduction,소개,도입,B1,noun
invent,발명하다,,B1,verb
invention,발명품,발명,B1,noun
invitation,초대장,초대,B1,noun
invite,초대하다,,B1,verb
involve,포함하다,관련시키다,B1,verb
item,항목,물품,B1,noun
itself,그 자체,,B1,pronoun
jam,잼,막히다,B1,noun
joke,농담,농담하다,B1,noun
journalist,기자,,B1,noun
judge,판사,판단하다,B1,noun
keyboard,키보드,,B1,noun
knowledge,지식,,B1,noun
lab,실험실,,B1,noun
lady,여성,숙녀,B1,noun
lake,호수,,B1,noun
lamp,램프,전등,B1,noun
language,언어,,B1,noun
law,법,법률,B1,noun
lawyer,변호사,,B1,noun
lazy,게으른,,B1,adjective
lead,이끌다,선두,B1,verb
leader,지도자,리더,B1,noun
learning,학습,배움,B1,noun
least,가장 적은,최소한,B1,adjective
lecture,강의,강연하다,B1,noun
lend,빌려주다,,B1,verb
level,수준,단계,B1,noun
lifestyle,생활방식,,B1,noun
likely,가능성 있는,아마,B1,adjective
link,연결,연결하다,B1,noun
liquid,액체,액체의,B1,noun
local,지역의,현지의,B1,adjective
locate,위치시키다,찾아내다,B1,verb
location,위치,장소,B1,noun
lonely,외로운,,B1,adjective
luck,운,,B1,noun
lucky,운이 좋은,,B1,adjective
machine,기계,,B1,noun
magazine,잡지,,B1,noun
manage,관리하다,해내다,B1,verb
manager,관리자,매니저,B1,noun
manner,방식,태도,B1,noun
mark,표시,점수,B1,noun
marry,결혼하다,,B1,verb
material,재료,자료,B1,noun
mathematics,수학,,B1,noun
matter,문제,중요하다,B1,noun
may,~일지도 모른다,,B1,modal
media,매체,미디어,B1,noun
medical,의학의,의료의,B1,adjective
memory,기억,기억력,B1,noun
mental,정신의,,B1,adjective
mention,언급하다,,B1,verb
mess,엉망,혼란,B1,noun
method,방법,,B1,noun
middle,중간,가운데,B1,noun
might,~할지도 모른다,,B1,modal
mind,마음,정신,B1,noun
mine,내 것,광산,B1,pronoun
mix,섞다,혼합하다,B1,verb
mixture,혼합물,혼합,B1,noun
model,모형,모델,B1,noun
modern,현대의,,B1,adjective
mood,기분,,B1,noun
mouth,입,,B1,noun
movement,움직임,운동,B1,noun
mystery,수수께끼,미스터리,B1,noun
narrow,좁은,,B1,adjective
national,국가의,전국적인,B1,adjective
nature,자연,,B1,noun
nearly,거의,,B1,adverb
necessary,필요한,,B1,adjective
neck,목,,B1,noun
neighbor,이웃,,B1,noun
neither,어느 쪽도 아닌,,B1,determiner
nervous,긴장한,,B1,adjective
network,망,네트워크,B1,noun
noise,소음,시끄러움,B1,noun
normal,보통의,정상의,B1,adjective
notice,알아차리다,공지,B1,verb
novel,소설,새로운,B1,noun
nowadays,요즘,오늘날,B1,adverb
nurse,간호사,,B1,noun
object,물건,반대하다,B1,noun
obvious,분명한,,B1,adjective
offer,제안,제공하다,B1,noun
officer,장교,공무원,B1,noun
operation,작동,수술,B1,noun
opinion,의견,생각,B1,noun
opportunity,기회,,B1,noun
ordinary,보통의,평범한,B1,adjective
organization,조직,단체,B1,noun
organize,조직하다,정리하다,B1,verb
original,원래의,독창적인,B1,adjective
outside,밖에,외부의,B1,preposition
owner,주인,소유자,B1,noun
pain,통증,고통,B1,noun
painter,화가,,B1,noun
palace,궁전,,B1,noun
paperwork,서류 작업,,B1,noun
participant,참가자,,B1,noun
particular,특정한,특별한,B1,adjective
pass,지나가다,합격하다,B1,verb
path,길,통로,B1,noun
patient,환자,참을성 있는,B1,noun
pattern,패턴,양식,B1,noun
peace,평화,,B1,noun
percentage,백분율,비율,B1,noun
perfect,완벽한,,B1,adjective
perform,수행하다,공연하다,B1,verb
performance,공연,수행,B1,noun
perhaps,아마,,B1,adverb
permission,허락,허가,B1,noun
personality,성격,개성,B1,noun
pet,애완동물,,B1,noun
photograph,사진,사진 찍다,B1,noun
photographer,사진작가,,B1,noun
physics,물리학,,B1,noun
pick,고르다,집다,B1,verb
pilot,조종사,,B1,noun
planet,행성,,B1,noun
plastic,플라스틱,플라스틱의,B1,noun
plate,접시,,B1,noun
pleasant,쾌적한,기분 좋은,B1,adjective
pleased,기쁜,만족한,B1,adjective
pocket,주머니,,B1,noun
polite,공손한,예의 바른,B1,adjective
pollution,오염,,B1,noun
population,인구,,B1,noun
position,위치,자리,B1,noun
positive,긍정적인,,B1,adjective
possibility,가능성,,B1,noun
possible,가능한,,B1,adjective
power,힘,권력,B1,noun
predict,예측하다,,B1,verb
prefer,선호하다,더 좋아하다,B1,verb
prepare,준비하다,,B1,verb
pressure,압박,ضغط,B1,noun
prevent,막다,예방하다,B1,verb
prince,왕자,,B1,noun
princess,공주,,B1,noun
prison,감옥,,B1,noun
prize,상,상품,B1,noun
process,과정,처리하다,B1,noun
produce,생산하다,제작하다,B1,verb
product,제품,상품,B1,noun
profession,직업,전문직,B1,noun
professor,교수,,B1,noun
program,프로그램,,B1,noun
project,프로젝트,계획,B1,noun
promise,약속,약속하다,B1,noun
pronounce,발음하다,,B1,verb
protect,보호하다,,B1,verb
provide,제공하다,공급하다,B1,verb
public,공공의,대중의,B1,adjective
publish,출판하다,발표하다,B1,verb
pull,당기다,,B1,verb
purpose,목적,,B1,noun
push,밀다,,B1,verb
quality,질,품질,B1,noun
quantity,양,수량,B1,noun
quietly,조용히,,B1,adverb
race,경주,인종,B1,noun
railway,철도,,B1,noun
raise,올리다,기르다,B1,verb
rate,비율,평가하다,B1,noun
rather,꽤,오히려,B1,adverb
reach,도달하다,닿다,B1,verb
react,반응하다,,B1,verb
realize,깨닫다,실현하다,B1,verb
reason,이유,,B1,noun
receive,받다,수령하다,B1,verb
recent,최근의,,B1,adjective
recently,최근에,,B1,adverb
recognize,알아보다,인식하다,B1,verb
recommend,추천하다,권하다,B1,verb
record,기록,녹음하다,B1,noun
recycle,재활용하다,,B1,verb
reduce,줄이다,감소시키다,B1,verb
refer,언급하다,참조하다,B1,verb
refuse,거절하다,,B1,verb
region,지역,,B1,noun
regular,규칙적인,정기적인,B1,adjective
relationship,관계,,B1,noun
repair,수리하다,고치다,B1,verb
replace,교체하다,대신하다,B1,verb
report,보고서,보도하다,B1,noun
request,요청,요청하다,B1,noun
research,연구,연구하다,B1,noun
respect,존중,존경하다,B1,noun
responsibility,책임,,B1,noun
responsible,책임이 있는,,B1,adjective
result,결과,,B1,noun
review,검토,복습하다,B1,noun
ride,타다,,B1,verb
risk,위험,위험을 감수하다,B1,noun
robot,로봇,,B1,noun
rock,바위,록 음악,B1,noun
role,역할,,B1,noun
rope,밧줄,,B1,noun
routine,일상,일과,B1,noun
sail,항해하다,돛,B1,verb
salary,급여,월급,B1,noun
satisfy,만족시키다,,B1,verb
save,구하다,저장하다,B1,verb
schedule,일정,,B1,noun
scientist,과학자,,B1,noun
screen,화면,,B1,noun
search,검색,찾다,B1,noun
secret,비밀,비밀의,B1,noun
section,부분,구역,B1,noun
seem,~처럼 보이다,,B1,verb
sense,감각,의미,B1,noun
separate,분리하다,별개의,B1,verb
serious,심각한,진지한,B1,adjective
serve,제공하다,섬기다,B1,verb
service,서비스,봉사,B1,noun
several,몇몇의,,B1,determiner
shake,흔들다,,B1,verb
shall,~할 것이다,,B1,modal
shape,모양,,B1,noun
share,공유하다,나누다,B1,verb
sharp,날카로운,예리한,B1,adjective
ship,배,선박,B1,noun
shoot,쏘다,촬영하다,B1,verb
shoulder,어깨,,B1,noun
shout,외치다,소리치다,B1,verb
shut,닫다,,B1,verb
side,옆,측면,B1,noun
sign,표지판,서명하다,B1,noun
signal,신호,,B1,noun
silent,조용한,말없는,B1,adjective
similar,비슷한,,B1,adjective
simple,단순한,간단한,B1,adjective
since,이후로,~때문에,B1,preposition
skill,기술,능력,B1,noun
skin,피부,,B1,noun
smart,똑똑한,세련된,B1,adjective
society,사회,,B1,noun
soldier,군인,,B1,noun
solution,해결책,,B1,noun
solve,해결하다,,B1,verb
sort,종류,분류하다,B1,noun
sound,소리,건전한,B1,noun
southern,남쪽의,남부의,B1,adjective
space,공간,우주,B1,noun
speaker,화자,연설자,B1,noun
specific,구체적인,특정한,B1,adjective
speech,연설,말,B1,noun
spirit,정신,영혼,B1,noun
spread,퍼뜨리다,펼치다,B1,verb
stage,단계,무대,B1,noun
standard,기준,표준의,B1,noun
state,상태,국가,B1,noun
statement,진술,성명,B1,noun
stationary,정지한,문구류,B1,adjective
steel,강철,,B1,noun
step,걸음,단계,B1,noun
stick,막대기,붙이다,B1,noun
still,여전히,아직,B1,adverb
store,가게,저장하다,B1,noun
strange,이상한,낯선,B1,adjective
strategy,전략,계획,B1,noun
stream,개울,흐름,B1,noun
stress,스트레스,강조하다,B1,noun
structure,구조,,B1,noun
succeed,성공하다,,B1,verb
success,성공,,B1,noun
successful,성공적인,,B1,adjective
suddenly,갑자기,,B1,adverb
suggest,제안하다,,B1,verb
suggestion,제안,,B1,noun
support,지원,지지하다,B1,noun
suppose,가정하다,추정하다,B1,verb
surface,표면,,B1,noun
surprised,놀란,,B1,adjective
surprising,놀라운,,B1,adjective
survey,설문조사,조사,B1,noun
survive,살아남다,생존하다,B1,verb
swallow,삼키다,,B1,verb
symbol,상징,,B1,noun
system,체계,시스템,B1,noun
tablet,태블릿,알약,B1,noun
talent,재능,,B1,noun
target,목표,대상,B1,noun
task,과제,업무,B1,noun
teamwork,팀워크,협동,B1,noun
technology,기술,,B1,noun
teenager,십대,,B1,noun
temperature,온도,,B1,noun
term,기간,용어,B1,noun
terrible,끔찍한,아주 나쁜,B1,adjective
theme,주제,,B1,noun
therefore,그러므로,,B1,adverb
thought,생각,사고,B1,noun
throughout,도처에,~내내,B1,preposition
throw,던지다,,B1,verb
tidy,정돈된,정리하다,B1,adjective
tool,도구,,B1,noun
tour,관광,여행,B1,noun
tourist,관광객,,B1,noun
towards,~쪽으로,,B1,preposition
tradition,전통,,B1,noun
traditional,전통적인,,B1,adjective
traffic,교통,차량 흐름,B1,noun
training,훈련,교육,B1,noun
transport,운송,수송하다,B1,noun
treat,대하다,치료하다,B1,verb
treatment,치료,대우,B1,noun
trust,신뢰,믿다,B1,noun
truth,진실,,B1,noun
typical,전형적인,보통의,B1,adjective
underground,지하의,지하철,B1,adjective
unfortunately,불행히도,유감스럽게도,B1,adverb
unhealthy,건강하지 않은,,B1,adjective
unit,단위,부대,B1,noun
universe,우주,,B1,noun
unusual,특이한,드문,B1,adjective
update,업데이트,갱신하다,B1,noun
upon,~위에,,B1,preposition
useful,유용한,,B1,adjective
usual,보통의,평소의,B1,adjective
valley,계곡,,B1,noun
value,가치,값,B1,noun
variety,다양성,종류,B1,noun
vehicle,차량,탈것,B1,noun
view,견해,전망,B1,noun
village,마을,,B1,noun
violence,폭력,,B1,noun
voice,목소리,,B1,noun
volunteer,자원봉사자,자원하다,B1,noun
warn,경고하다,,B1,verb
warning,경고,,B1,noun
waste,낭비,낭비하다,B1,noun
wealth,부,재산,B1,noun
weather,날씨,,B1,noun
web,웹,거미줄,B1,noun
wedding,결혼식,,B1,noun
western,서쪽의,서부의,B1,adjective
whatever,무엇이든,,B1,pronoun
whether,~인지 아닌지,,B1,conjunction
while,~하는 동안,반면에,B1,conjunction
whole,전체의,,B1,adjective
wild,야생의,,B1,adjective
wind,바람,,B1,noun
wing,날개,,B1,noun
within,~이내에,안에,B1,preposition
without,~없이,,B1,preposition
wood,나무,목재,B1,noun
wooden,나무로 된,,B1,adjective
worker,노동자,근로자,B1,noun
worry,걱정,걱정하다,B1,noun
writer,작가,글쓴이,B1,noun
yet,아직,그러나,B1,adverb
zone,구역,지역,B1,noun
