word,meaning,aliases,level,pos
technology,기술,,A2,noun
ticket,표,,A2,noun
tour,관광,여행,A2,noun
tourist,관광객,,A2,noun
town,마을,,A2,noun
trip,여행,,A2,noun
university,대학교,,A2,noun
vacation,휴가,,A2,noun
video,영상,비디오,A2,noun
village,마을,,A2,noun
way,방법,길,A2,noun
weather,날씨,,A2,noun
website,웹사이트,,A2,noun
world,세상,,A2,noun
breakfast,아침,아침식사,A2,noun
dinner,저녁식사,저녁,A2,noun
lunch,점심식사,점심,A2,noun
